uuid,latitude,longitude,location_name,street_address,city,province,postal,phone
0,43.859566,-79.026075,Ajax Staples,16 Harwood Avenue South,Ajax,ON,L1S 7L8,905-686-1422
1,44.149683,-79.882963,Alliston Mills Staples,92 Young Street,Alliston,ON,L9R 1P8,705-434-4992
2,43.228732,-79.94188,Ancaster Staples,1015 Golf Links Rd.Meadowland Sq. Bldg.#1,Ancaster,ON,L9K 1L6,905-648-6047
3,43.987284,-79.465095,Aurora Staples,14800 Yonge St. Unit #180(Aurora Shopping Ctr.),Aurora,ON,L4G 1N3,905-713-0367
4,44.338149,-79.688801,Barrie Staples,36 Barrie View Drive,Barrie,ON,L4N 8V4,705-733-3329
5,44.417391,-79.712959,Barrie II Staples,561 Bayfield Street,Barrie,ON,L4M 4Z9,705-735-4058,
6,44.187114,-77.405238,Belleville Staples,190 Bell Blvd.,Belleville,ON,K8P 5L2,613-961-7399
7,43.872226,-79.725449,Bolton Staples,471 Queen Street S. Unit # 2,Bolton,ON,L7E 2B5,905-951-1640
8,43.909889,-78.679136,Bowmanville Staples,185-187 King Street East,Bowmanville,ON,L1C 1P2,905-623-1700
9,45.043051,-79.326783,Bracebridge Staples,"500 Highway 118 W, Unit 102",Bracebridge,ON,P1L 1X3,705-646-2775
10,43.728156,-79.764854,Brampton 410 Staples,80 Great Lakes Dr.,Brampton,ON,L6R 2K7,905-789-5799
11,43.741912,-79.696566,Malton Staples,2937 Queen St. East,Brampton,ON,L6T 5J1,905-791-4522
12,43.666139,-79.737557,Shopper's Brampton Staples,499 Main Street South,Brampton,ON,L6Y 1N7,905-796-2403,
13,43.170499,-80.247162,Brantford Staples,595 West Street,Brantford,ON,N3R 7C5,519-752-3367
14,44.604086,-75.698934,Brockville Staples,1000 Island Mall,Brockville,ON,K6V 3G9,613-498-2616
15,43.335104,-79.815092,Burlington Staples,1881 Fairview Street,Burlington,ON,L7S 2K4,905-637-1422
16,43.357512,-79.805745,Burlington Staples,3060 Davidson Court Unit C2,Burlington,ON,L7M 4X7,905-332-1071
17,43.412048,-80.326089,Cambridge Staples,26 Pinebush Road,Cambridge,ON,N1R 8K5,519-622-5280
18,45.132853,-76.120867,Carleton Place Staples,555 McNeely Avenue,Carleton Place,ON,K7C 0A8,613-253-2400
19,45.132853,-76.120867,Chatham Staples,788 St. Clair Street ,Chatham,ON,N7L 0E8,519-360-1344
20,43.970539,-78.196453,Cobourg Staples,1025 Elgin Street West,Cobourg,ON,K9A 5W4,905-377-0458
21,44.502156,-80.235858,Collingwood Staples,"15 Balsam Street, Unit # 1",Collingwood,ON,L9Y 5H6,705-445-0505
22,45.030067,-74.735205,Cornwall Staples,7- 9th Street East,Cornwall,ON,K6H 6R3,613-936-6952
23,45.458544,-75.484626,Orleans Staples,2085 Tenth Line Rd.,Cumberland,ON,K4A 4C5,613-830-8100,
24,43.615195,-79.557355,Sherway Staples,1750 The Queensway,Etobicoke,ON,M9C 5H5,416-620-5674
25,43.716558,-79.592639,Rexdale Staples,180 Queens Plate Drive,Etobicoke,ON,M9W 6V1,416-749-9932
26,45.430381,-75.639249,Gloucester Staples,1233 Donald St. Unit # 20 ,Gloucester,ON,K1J 8W3,613-745-4773
27,43.51674,-80.236247,Guelph Staples,370 Stone Road West,Guelph,ON,N1G 4V9,519-763-4205
28,43.567491,-80.276084,Woodlawn Centre Staples,20 Woodlawn Rd. E.,Guelph,ON,N1H 1G7,519-822-2344
29,43.218275,-79.865423,Limeridge Staples,970 Upper Wentworth St,Hamilton,ON,L9A 4V8,905-383-7913
30,43.252548,-79.808761,Hamilton Central M Staples,1267 Barton Street East,Hamilton,ON,L8H 2V4,905-547-4778
31,43.175022,-79.790497,Rymal Rd - Hannon Staples,"2130 Rymal Road East, Unit #103",Hannon,ON,L0R 1P0,905-692-7215
32,43.175022,-79.790508,Hawkesbury Staples,460 County Rd. 17 Unit 8,Hawkesbury,ON,K6A 2R2,613-632-6800
33,45.335486,-79.20268,Huntsville Staples,"91 King William Street, Unit # 102",Huntsville,ON,P1H 1E5,705-789-5817
34,45.307331,-75.917942,Kanata Staples,8141 Campeau Drive,Kanata,ON,K2T 1B7,613-592-3538
35,45.030184,-75.631381,Kemptville Staples,302 Colonnade Drive,Kemptville,ON,K0G 1J0,613-258-5900
36,44.227132,-79.448044,Keswick Staples,"24018 Woodbine Avenue, Unit A-02",Keswick,ON,L4P 3E9,905-989-2283
37,44.233001,-76.483342,Kingston Core Staples,105 Queen Street,Kingston,ON,K7K 1A5,613-542-3585
38,44.243062,-76.563944,Gardiners Road Staples,616 Gardiners Road,Kingston,ON,K7M 3X9,613-634-2112
39,43.426002,-80.489159,Kitchener Staples,245 Strasburg Road,Kitchener,ON,N2E 3W7,519-571-7420
40,43.43472,-80.562326,Kitchener Ira Needles Staples,"225 The Boardwalk, Unit # 5",Kitchener,ON,N2N 0B1,519-579-1614
